full,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,ppm,team_rank
Jeffrey Schlupp,Crystal Palace,1,4,148,4,101.89999999999999,5206,7216,16,3,60.800000000000004,239.99999999999997,1030,0,0,0,0,741,0,286722,36,45,266,51,-6309,20676,26985,207.4000000000001,19.0,2,9.309764309764308,11.0
Scott Dann,Crystal Palace,1,3,253,5,58.3,4826,7216,14,0,48.6,250.2,1264,0,0,0,0,741,0,566053,36,45,177,51,-10477,17846,28323,165.10000000000005,19.0,0,11.772492365515616,11.0
Andros Townsend,Crystal Palace,1,0,221,3,247.1,5130,7216,23,1,61.60000000000001,246.4,1284,0,0,0,0,741,0,3671941,36,45,122,48,-171946,52991,224937,215.09999999999988,19.0,0,8.447276505114338,13.0
James Tomkins,Crystal Palace,1,4,260,3,27.700000000000003,4712,7216,23,1,53.3,384.0000000000001,1582,0,0,0,0,741,0,766533,36,45,121,48,7812,88383,80571,189.9,19.0,5,9.6,13.0
Christian Benteke,Crystal Palace,1,1,133,5,248.29999999999998,4902,7216,18,2,110.89999999999999,231.80000000000004,1252,0,0,0,1,741,0,1646650,36,45,632,42,-44571,44149,88720,218.19999999999985,19.0,4,7.309642457985998,15.0
James McCarthy,Crystal Palace,0,0,205,2,268.3,5966,7216,29,0,61.79999999999998,268.8,1668,0,0,0,0,741,0,1894529,36,45,80,41,9647,114533,104886,165.8,19.0,9,9.452280277861671,16.0
Max Meyer,Crystal Palace,0,0,67,1,68.9,5168,7216,11,0,23.800000000000004,67.99999999999999,645,0,0,0,0,741,0,253466,36,45,103,23,-6965,4699,11664,199.19999999999987,19.0,1,4.377490434094208,17.0
Jairo Riedewald,Crystal Palace,0,0,116,0,47.099999999999994,18326,7135,9,0,19.099999999999998,116.99999999999999,761,0,0,0,0,731,0,40074,34,42,27,22,804,3160,2356,153.0,17.0,0,4.888888888888884,18.0
Connor Wickham,Crystal Palace,1,2,48,0,34.5,4940,7216,2,1,15.8,59.800000000000004,90,0,0,0,0,741,0,7614287,36,45,64,15,-222850,273059,495909,168.00000000000017,19.0,0,3.398989898989897,19.0
Cenk Tosun,Crystal Palace,0,1,45,1,14.6,1460,2593,2,1,12.399999999999999,46.6,174,0,0,0,0,265,0,123903,10,12,66,12,970,20357,19558,57.000000000000014,5.0,0,2.10526315789474,20.0
Mamadou Sakho,Crystal Palace,0,0,148,0,15.900000000000002,4750,7216,21,0,20.200000000000003,179.2,929,0,0,0,1,741,0,217680,36,45,6,11,-3189,7652,10841,190.0,19.0,1,2.2,21.0
Wayne Hennessey,Crystal Palace,0,0,58,0,0.0,5016,7216,8,0,11.0,110.4,270,0,0,0,0,741,16,1766196,36,45,0,7,-33701,27003,60704,163.79999999999987,19.0,0,1.6017316017316023,22.0
Tyrick Mitchell,Crystal Palace,0,0,23,0,58.7,12738,5934,4,0,9.7,36.4,193,0,0,0,0,605,0,71623,21,28,2,4,2494,5954,3460,88.0,11.0,1,1.0,23.0
Brandon Pierrick,Crystal Palace,0,0,7,0,21.0,12180,5770,0,0,2.9000000000000004,6.4,13,0,0,0,0,588,0,7144,20,27,2,2,155,562,407,94.5,10.0,0,0.444444444444444,24.0
V?ctor Camarasa,Crystal Palace,0,0,3,0,0.1,19380,7216,0,0,0.0,0.2,5,0,0,0,0,741,0,615922,36,45,0,1,-45109,4924,50033,175.1,19.0,0,0.208333333333333,25.0
Richarlison de Andrade,Everton,5,13,519,9,478.1000000000002,5700,7229,51,13,252.30000000000004,814.5999999999999,3070,0,0,0,0,741,0,24126632,41,59,1233,165,6794,2360192,2353398,305.79999999999995,19.0,8,20.57241384428211,1.0
Dominic Calvert-Lewin,Everton,1,15,385,8,241.4,5586,7229,43,13,206.3,562.8000000000001,2621,0,0,0,0,741,0,15900248,41,59,1272,126,390818,2090249,1699431,227.89999999999998,19.0,9,21.212137030468543,2.0
